,dup_candidates,dup_curated
3400,3400 228382,3400 228382
3401,3401,3401
3402,3402 378422,3402 378422
3403,3403,3403
3404,3404,3404
3405,3405,3405
3406,3406 381547,3406 381547
3407,3407 375104 610960,3407 375104 610960
3408,3408,3408
3409,3409,3409
3410,3410,3410
3411,3411 351033 351034 627114,3411 351034 627114
3412,3412 373213 373383 373542 610659 610665 611731 612721 612722,3412 373213 373383 373542 610659 610665 612721 612722
3413,3413,3413
3414,3414 352134 352139 649893 649894,3414 352134 352139 649893 649894
3415,3415,3415
3416,3416 346784,3416 346784
3417,3417 345170 631023,3417 345170 631023
3418,3418 347033 647301,3418 347033 647301
3419,3419,3419
3420,3420 347968 628966,3420 347968 628966
3421,3421 630106,
3422,3422,3422
3423,3423,3423
3424,3424 377886,3424 377886
3425,3131 3425,3131 3425
3426,3426,3426
3427,3427 3487,3427 3487
3428,3428 11896,3428
3429,3429,3429
3430,3430 324701 650859,3430 324701 650859
3431,3431 375473,3431 375473
3432,3432,3432
3433,339 620 1364 2082 3433 374671 375628 379424 382425,339 620 1364 2082 3433 374671 375628 379424 382425
3434,3434 380135,3434 380135
3435,3435 610715,3435 610715
3436,3436,3436
3437,3437,3437
3438,3438 627217,3438 627217
3439,3439,3439
3440,3440 352046 649443,3440 352046 649443
3441,3441,3441
3442,3442 373247 610709,3442 373247 610709
3443,3443 350302 627779 647812,3443 350302 627779 647812
3444,3444,3444
3445,3445 610778,3445 610778
3446,3446 371940 610776,3446 371940 610776
3447,3447 368472 610953,3447 368472 610953
3448,3448 373292 610756,3448 373292 610756
3449,3449 610736,3449 610736
3450,3450 3082 381294 610956,3450 3082 381294 610956
3451,3451 367931 383593 609567 610596 610958,3451 367931 383593 609567 610596 610958
3452,1112 3452 384371 610790 610802 610803 610944 610945 610946 610947,1112 3452 384371 610790 610802 610803 610944 610945 610946 610947
3453,3453,3453
3454,3454 324587 650912,3454 324587 650912
3455,3455 345156,3455 345156
3456,3456,3456
3457,3457 341932,3457 341932
3458,3458,3458
3459,3459 192409 610742,3459 192409 610742
3460,3460 378763 610707,3460 378763 610707
3461,3461,3461
3462,3462 369609 610719,3462 369609 610719
3463,3463,3463
3464,3464 383657 610752,3464 383657 610752
3465,3465 377327 610774,3465 377327 610774
3466,3466 368324 610741,3466 368324 610741
3467,3467,3467
3468,3468,3468
3469,3469 373763 610777,3469 373763 610777
3470,3470 610775,3470 610775
3471,3471 377391,3471 377391
3472,3472,3472
3473,3473,3473
3474,3474,3474
3475,3475,3475
3476,3476 349676 627482,3476 349676 627482
3477,3477,3477
3478,3478 350161,3478 350161
3479,3479 650498,3479 650498
3480,3480,3480
3481,3481,3481
3482,3482 610711,3482 610711
3483,3483,3483
3484,3484,3484
3485,3485 610779,3485 610779
3486,3486 610749,3486 610749
3487,3427 3487,3427 3487
3488,3488 378848 610753,3488 378848 610753
3489,3489,3489
3490,3490 376683 377589,3490 377589
3491,3491 648823,3491 648823
3492,3492 348190,3492 348190
3493,3493 339231 651681,3493 339231 651681
3494,3494,3494
3495,3495 373562 610950,3495 373562 610950
3496,3496 610727,3496 610727
3497,3497,3497
3498,3260 3498 3628 3735 8938 608781 610316 610354 610396 610614,3498 3628 8938 608781 610316 610354
3499,3499 376757,3499 376757
3500,3500 377891 610769,3500 377891 610769
3501,3501 627513,3501 627513
3502,3502 349337,3502
3503,3503,3503
3504,2115 3504 341826 346431 644598,2115 3504 341826 346431 644598
3505,2486 3505,3505
3506,3506,3506
3507,3507 383239,3507
3508,3508 610748,3508 610748
3509,1115 3509 369822 610750,1115 3509 369822 610750
3510,3510 610948,3510 610948
3511,3511 610784,3511 610784
3512,3512 378520,3512
3513,3513 380032 610791,3513 380032 610791
3514,3514 610952,3514 610952
3515,3515,3515
3516,1628 1902 3516 349711 350749 627422 627470,3516 349711 627470
3517,3517 631201,3517 631201
3518,3518 344431 630836,3518 344431 630836
3519,3519,3519
3520,3520 382674,3520
3521,3521 342570,3521
3522,3522 324533,3522
3523,3523 339037,3523
3524,3531 3524 369792 609939 610514 610535 610536 610537 610538 610544 610765 610766,3524 610766
3525,3525 647423,3525 647423
3526,3526,3526
3527,2167 3527 4186 7528 346605 346796 346799 348228 348235,3527
3528,3528 625995,3528 625995
3529,3529 346912 647305,3529 346912 647305
3530,3530,3530
3531,3531 3524 369792 609939 610514 610535 610536 610537 610538 610544 610765 610766,3531 369792 610514 610535 610536 610537 610538 610544 610765
3532,3532 377265,3532
3533,3533,3533
3534,3534,3534
3535,3535 374081,3535
3536,3536 610460,3536 610460
3537,3537 610463,3537 610463
3538,3538,3538
3539,3539,3539
3540,3540,3540
3541,3541 341979,3541
3542,3542,3542
3543,3543,3543
3544,3544,3544
3545,3545,3545
3546,3546,3546
3547,3547,3547
3548,3548,3548
3549,3549 3619 5414,3549
3550,3550,3550
3551,3551,3551
3552,1006 2091 3552,3552
3553,3553,3553
3554,3554 610314,3554 610314
3555,3555,3555
3556,3556,3556
3557,3557,3557
3558,3558 3917,3558
3559,3559 3774,3559
3560,3560 610340,3560 610340
3561,3561 382403,3561
3562,3562,3562
3563,3563 610288,3563 610288
3564,3564 3932 610309,3564 610309
3565,3565 324845 650726,3565 324845 650726
3566,1088 2048 2210 2228 2353 2478 2654 2672 2923 3262 3566 346843 346976 347052 348472 348475 348801,3566
3567,3567 347344 348433,3567
3568,3568,3568
3569,3569 347936,3569
3570,3570,3570
3571,3571 379343 610356,3571
3572,3572,3572
3573,3573 610349,3573 610349
3574,3574 376539,3574
3575,3575 610352,3575 610352
3576,3576 610351,3576 610351
3577,3577 376908,3577
3578,3578 610336,3578 610336
3579,3579,3579
3580,3580 342313 629804,3580 342313 629804
3581,3581,3581
3582,3582,3582
3583,3583,3583
3584,3584 347507,3584
3585,3585 352127 649892,3585 352127 649892
3586,3586,3586
3587,3587,3587
3588,3588 610304,3588 610304
3589,3589 375849 609171 609715 612704,3589 375849 609171 609715 612704
3590,3590 610315 610363,3590 610315 610363
3591,3591 375155 610369,3591 375155 610369
3592,3592 384589 612711,3592 384589 612711
3593,3593 381225 609825 612705,3593 381225 609825 612705
3594,3594 612713,3594 612713
3595,3595,3595
3596,3596 383391 612712,3596 383391 612712
3597,3597 367601 610350,3597 367601 610350
3598,3598 383857 610290,3598 383857 610290
3599,3599 337491,3599
